,,Agriculture,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Banking,Banking - Large Cap,Banking - Small Cap,Business Services,Business Services - Large Cap,Business Services - Small Cap,Business Supplies,Chemicals,Chemicals - Large Cap,Chemicals - Small Cap,Communication,Communication - Small Cap,Computers,Construction,Construction Materials,Consumer Goods,Defense,Electrical Equipment,Electrical Equipment - Small Cap,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Entertainment - Large Cap,Food Products,Healthcare,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Measuring and Control Equipment - Large Cap,Measuring and Control Equipment - Small Cap,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Non-Metallic and Industrial Metal Mining - Small Cap,Personal Services,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Precious Metals - Small Cap,Real Estate,Recreation,"Restaurants, Hotels, Motels",Retail,Retail - Large Cap,Retail - Small Cap,"Shipbuilding, Railroad Equipment",Steel Works Etc,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
Beta,Alpha,0.008003175593824484,-0.0018399129904303623,0.0026223977830768137,-0.003135053088161209,0.0021599156960194934,0.00022509549042147537,0.000332667346610988,-0.005969407976924869,0.002048266590372041,0.0026997307267881613,-0.028339744083608624,-0.008350998329548517,-0.003677828197084129,-0.003842867373378636,-0.0214800062773492,-0.002792536491899929,-0.024052063098766324,-0.0010402496187666475,-1.2362301272422944e-05,-0.0012002869398104526,-0.002632991587325619,0.0161087312649367,-0.0002367305208028274,-0.046009262516329544,0.0058274039392412266,0.006409503028139393,-0.02435336487596347,-8.773053208577849e-05,-0.007342296337949703,-0.0001770353659996495,-0.0012654044535016994,-0.0017480379627730896,-0.0013096473856180498,-0.008716588643971172,-2.6265111204286807e-06,0.0010312498338534432,-0.026926165989042378,0.0008547092396278448,0.0030073486073889815,-0.009170363073035542,0.00011217052399068589,0.0007415151311277162,0.002210969293863892,-0.0012509696618171445,-0.014482074518510395,-0.0005736428160644145,-0.0031966697164184142,-0.001783977191887342,-0.01979288421847531,0.002829453182275496,0.003462097806697266,-0.04560690200379286,0.0021632219287928064,-0.005622095562736488,-0.001978738640401642,-0.004479720066293751,0.001742594667107104,0.0029847526354096336,0.004199418408166607,-0.03065803471883695,0.0052770211317207955,-0.0036673557403902753,-0.001058983402735899,0.00019035311548940698,-0.014479889145697714,-0.0018895320182370733,-0.0022251279394295766,-0.027570563563260056,0.0002522012912011501,0.0010891155641213528,-0.006983603748180741,0.0004706960166558612,0.0017477419516373992,-0.020820956670111246
Beta,CMA,0.07581285180049917,-0.0451867581486759,0.04381180044131598,0.21703121168468956,-0.567359548399154,-0.4923639051540173,-0.49478232663407246,-0.25749400661731386,-0.2900089192335594,-0.2939504646007213,-0.03542621492884923,0.5323171499931607,0.021186271077345394,0.20593691070766112,0.0995881074628157,0.530795420168462,0.07268389025290667,-0.05306490815426836,-0.101795756253796,-0.09121673496110846,0.46664110107099854,0.8338117236147655,0.009387359537295886,0.6148979075759984,-0.2187577502528553,-0.21799051591041324,0.05526416754430552,-0.6146695183289107,-0.4143473144245997,0.5382675429070988,0.5052833878567163,-0.060592703880275406,-0.04689716448193412,-0.19211247693709954,0.07200288967463454,0.0892632138185435,-0.11437735584359489,0.09279843179787374,0.053058618024045816,-1.4918803074933502,0.29389960681092486,0.34899090351766443,0.7373831334811171,0.35385590627280616,0.2677055396640271,0.07953037670138915,0.4889442077058443,0.4336646965400168,0.022411948793416903,0.30820401094480504,0.3427926674181614,-0.263152905484888,0.8356008759702052,0.3232685658404302,-0.5431103984727211,0.09731858116589848,-0.0038450579793611606,-0.10279877643909362,-0.1326790958739691,-0.008569316845857156,0.2333854175724566,0.1269573451182187,-0.19888105248942267,-0.1920845326974663,0.026830887395788178,0.10598270195702203,0.11584903524152652,0.405188434593348,0.36041877848186343,0.4062499057736051,0.19756364438483281,0.16853694533547783,0.18676722778197052,-0.0381666635072842
Beta,HML,0.3695195355789247,0.5646939415166079,0.034511825162534315,-0.18332222385835248,-0.2927160861624889,1.013931644888297,1.0184846047791791,0.5576270553911723,-0.2451481261441983,-0.24394680307461722,-0.29980663450059575,-0.021805899532589514,0.23670166566639655,0.24346951522214505,0.33973856760350585,-0.022727729798440965,0.3930089514377553,0.001581683934544876,0.13636278825005044,0.28229225989515255,-0.07014347505460593,-0.10677170053931392,-0.1618112278706967,-0.7242364853777639,-0.3356639654241541,-0.354051757281894,-0.0927507447018904,0.12731304413165398,-0.4828699094037935,0.00723385308785501,-0.12025165710148461,0.5254550764486272,0.5298140615537962,0.29164924907958123,0.11609904463527648,0.10493403398553851,0.27012618671774163,-0.28704555023105144,-0.1827898336149301,0.40694660465459753,-0.265192264624278,-0.261398296024325,0.021936035460527147,0.24315625668690338,-0.04946047615192168,0.0002614624947763714,0.6049278602744511,0.9137531832088222,0.897523224840099,-0.1379379673884263,-0.12972760145935702,-0.4310538054745564,-0.28735685178611864,0.20708252343465502,0.522950084587101,0.13898018723762073,-0.017983137574927442,-0.29501813825825873,-0.3060665055256655,0.2940040369109621,0.28657905744805556,0.24572768986046395,0.3095955413102737,0.2889087901167154,0.4487164591083965,0.1363058503840482,0.08688638128393668,0.24947610891673935,-0.01871843990272731,-0.04428204034291949,0.024837677704289768,0.06620844169911928,0.03551024250325818,0.025918573147104926
Beta,Mkt-RF,0.7533163427205448,1.1426100582407823,0.7053153548598774,1.0776740353276195,1.5710403522957188,1.0601496229848233,1.0797755833993226,0.4549005995108753,1.0824558497543342,1.0852813618487396,1.0455208814810772,0.6641467350948632,1.0988738287098045,0.966791832683763,1.3936434890360334,0.8370369710271879,0.7979396136341383,1.127618536694273,1.2650043422055184,1.2784834937393428,0.7036320927679783,0.5124141375138156,1.287346388565044,0.6527745378172823,1.2399097735059799,1.2330165460216844,1.0034176615155712,1.5091139278909498,1.2207588443747293,0.5726443771034433,0.8220733027579455,0.9932982175227737,0.9963555926761246,0.7246635852367556,1.3038108574744784,1.3031542178647226,1.0759783732217898,1.0432636542251104,0.9651981810550392,1.0109685252386291,0.8374790029988883,0.8369135135611123,0.6117872488644961,1.4276238844679714,-0.04501071109969622,0.9472443061718243,1.0021508399089536,1.051258140974682,1.022946153128851,0.6420199047961523,0.6343946986703515,0.7226098880472392,0.5818975274965985,0.6392765592360516,1.3442230278502636,0.9587868518979289,0.7597937388301981,0.9552563325589429,0.925523583905487,1.1339469805401694,0.9456637134029208,1.3923304470679727,1.0033560590917876,0.9944847881551823,0.9851250133259645,1.0988693541933705,1.1165317093474607,1.1832881257082686,0.6093161733371719,0.591161534736224,0.6816436015291246,0.8870887588955239,0.8542902735487887,0.8707747898125379
Beta,RMW,-0.4920836513056399,-0.014122139192025568,0.20904616387975716,0.6074301585543859,-0.10956789860449395,-0.4192751449321268,-0.4428081891735548,-0.15268656198251096,-0.0679555603460982,-0.04238389637829644,-0.4822140220611002,0.6783661188992379,0.2933453247719161,0.38775153617756863,-0.3691243471489639,0.1842409257638293,-0.10291809322457818,0.07288048664794602,0.3858420559279857,0.3044057594805174,0.5568965996245765,-0.027847162200215173,0.046811934238681845,-0.29038477464658363,0.23980498030051994,0.27460727895836246,-0.4853904477729942,-0.5189460603915641,-0.2997593038228995,0.23019908256455246,-0.17627210277358746,-0.10256175469398572,-0.06349940108656735,-0.21457234164021055,0.12348665056691277,0.12824491490787593,0.017637119191331097,-0.03923848380813451,0.05358340623778989,-0.9870453392365736,-0.17090781858435367,-0.0907175883409377,0.04709908859851217,-0.22244230430763004,0.7531962336540594,0.06557126034017646,0.23261069040379734,-0.006204019253254506,-0.041033431136777446,-0.1786179802340241,-0.13367252120088136,-1.2524474099756273,0.290844342099173,-0.18498256713073483,0.07650343273399163,0.5096321407094012,0.4961538883368253,0.16504660731385498,0.158327267483557,0.4159238250792579,0.127541026720097,0.20400003497801567,-0.11132044628629945,-0.17674274059213146,-0.1268925308820285,0.12747032592097973,0.06907726703316909,-0.0008270994806165027,0.25472115190747635,0.2620321580686197,0.3089656425029695,0.248422463651396,0.23469993245137055,0.17249146699271148
Beta,SMB,0.20121791079422569,0.047745428811068955,-0.11863246887644,0.3405216036969475,0.6963474825990776,-0.1373178497974407,-0.19081562520777107,0.42541898313180926,-0.19095401464733522,-0.2656803952586855,0.9954148397627658,0.13306452897747376,0.16174881875759783,0.21654365858208818,0.9239094607753784,-0.021150381288400077,0.4896014496621454,0.05803426296603652,0.6324534248778434,0.5784535239302364,-0.07898328741196999,0.5396612646307325,0.6057962497831039,1.4117009867460129,-0.03563444343583894,-0.07957038608717962,0.5259980830439897,0.2005042582054701,-0.12300512866771082,-0.12663324636000817,0.3626384364717248,-0.03970011640236906,-0.039300836634084804,0.561767848888809,0.3344489262920428,0.24072679273422365,1.1290119583589087,0.2958256474529847,0.10322383124865712,-0.14895538075288295,-0.03326639608543722,-0.09300024265582718,0.754788104894227,0.13153023934511834,1.0979487949408013,0.3313980231861874,0.22769933007081639,0.19190651796763641,0.7488655223942426,-0.10669515638036248,-0.15969084261750352,0.9863347050151416,-0.16611446970670135,0.004228779321126848,0.7086589625792695,0.43569235437306464,0.07669275980928017,0.004354572900351673,-0.07674363525252263,1.2157057971540937,0.6580802183724578,0.42490647079685784,0.030827867393963555,-0.06742443357221996,0.5385199206759941,0.1391466065095049,0.027927816070895638,0.7848075487484314,-0.11240264357165486,-0.18572130475006599,0.5906093988552941,0.3362635301115282,0.22691582331063398,0.5207588027469474
Pvalue,Alpha,0.3655053611534673,0.5180536019546502,0.2876047857348207,0.34161464840577815,0.6637116857495033,0.8926653504522479,0.8469411618204566,0.009885527171814104,0.11145455831326255,0.051397236356456814,6.107013022680447e-15,0.006512714983592431,0.19002454289208162,0.15993742087131826,0.0009101103978627537,0.14185502695700908,0.003385650696658361,0.6774343381976222,0.9969811522726635,0.5770097137498353,0.1787629254227187,0.12412805069323171,0.9241779419784282,1.1479207940991553e-05,0.02403448573554093,0.016715690399420526,8.325726839378667e-08,0.9845940188298631,0.5674272996668536,0.9300322831742068,0.625711721081319,0.4293164067149543,0.6051660664413903,0.020718599951975412,0.9990360151531816,0.663400276889448,2.8067015438333414e-07,0.6707984034519849,0.4238003221197596,0.5253743247668956,0.9568432837166,0.7134888100237871,0.9020853407018461,0.8163976769841119,0.4123378104469194,0.8115364668723162,0.38196045640012266,0.6000309761179812,0.00036560781109969625,0.21359389429596667,0.1318082491521714,3.45759086648886e-11,0.779808605947977,0.7399195932684295,0.5089703452747922,0.20512128833691692,0.42046048904557676,0.09903117425432342,0.02747388570210398,2.1388991703859494e-12,0.4348799867417854,0.291464022513888,0.5086826738912835,0.9123164641495709,1.8183688889519573e-06,0.2657582779991002,0.2958016524067971,7.287139161957402e-06,0.9037104186067252,0.6217825939036249,0.015736720992470067,0.7729518183941794,0.34941995956060257,4.614223956848501e-05
Pvalue,CMA,0.8435149629386711,0.7975031116888468,0.76596807412682,0.28760721813957457,0.06602219745258496,3.37644839403614e-06,6.0171313516198116e-06,0.071027927004611,0.00032311373854095466,0.0006850248649294894,0.8652231029142535,0.0004595059033841393,0.9027243262709421,0.15676972169507902,0.795714210596434,9.96697946056514e-06,0.8694593641657401,0.7317038489358078,0.6148071973666942,0.49352070214618493,0.00014916002753361383,0.11239099549375549,0.9513779563702274,0.1572343362062348,0.16946523819757212,0.1864374126406761,0.8387920843362511,0.02973698397202511,0.4952801561564675,2.4215198395052503e-05,0.0018613794277411414,0.6578591582284568,0.7648080265598001,0.40750886047079005,0.5926852961575608,0.5428316953283963,0.7159912758108685,0.4560914375665851,0.7822434424830813,0.045349127062261255,0.022802599128986866,0.006544721622820622,0.5149655926302831,0.2892498033477399,0.7663538445773161,0.5933598140413677,0.03150293921133689,0.03452373537396143,0.9472200199205869,0.02921886690569426,0.01636012768837625,0.5149480905036559,0.08209218545593584,0.7035885061752887,0.003719916726470202,0.6573650550508725,0.9770694848556698,0.357579124181447,0.25835751426562714,0.9731255610033469,0.47971061542347027,0.5548025594204617,0.04583896629713705,0.0736920535765135,0.8832481488551795,0.3130710653542734,0.3609304112994879,0.27592539637540714,0.005642593225603434,0.0032472860846319684,0.26703803949858723,0.09615978050893058,0.10690768149842694,0.9032907811231186
Pvalue,HML,0.16358165829352397,6.852935464454019e-07,0.7249393208657587,0.15236505444113826,0.12981684899863274,3.2876276905914506e-37,7.693720840509642e-36,2.0437488639345743e-09,1.6639237615775625e-06,8.576458224177627e-06,0.022775551965807495,0.8328326190431303,0.03030874927967061,0.013570378368465526,0.18670270618474613,0.7574156221838244,0.205749744102528,0.9869919683573078,0.28275952061706283,0.0008461752941278944,0.35536939707888904,0.7943779724682292,0.09471731393210867,0.031309356956290765,0.0008808896294960716,0.0007161328036344133,0.5861159926543579,0.47044572307149635,0.3205936561301622,0.9263272881690131,0.23288683248913242,4.177293595939069e-09,1.810288057185473e-07,0.04572899478071489,0.16966203105566383,0.2543463576709085,0.17138243781158755,0.0002918856092898713,0.16723347049885112,0.422067634388936,0.0011309613660819553,0.0018397856246350104,0.9762859813900722,0.24550934559028112,0.9446945459787721,0.9977649649139689,2.9237063725402066e-05,2.594891557773992e-10,3.435026446587565e-05,0.11851689910093169,0.14549721726508563,0.08980582723655468,0.3389855261375523,0.7712019770809644,1.0954293893084357e-05,0.3349649833943631,0.8302162979112264,3.622395525614145e-05,4.447462375903941e-05,0.06631494006604202,0.26979395956311086,0.06922444195915217,1.2759730832013974e-06,2.481724161971551e-05,0.00011875091060376505,0.0392446530044083,0.30717252901165143,0.2845689624774938,0.8170053617620582,0.6052019819993709,0.8236152544965161,0.29617375567044135,0.6238835360252948,0.9000268090677975
Pvalue,Mkt-RF,5.4192878380170586e-05,2.5626064386891914e-43,8.678840226063967e-23,4.528794934941446e-33,1.489802457432141e-31,1.3397915850314607e-72,1.4016351624151222e-71,9.505608462073185e-16,4.5255355014596885e-94,1.3828726572209956e-88,1.1084186030435143e-30,3.782017198439029e-16,4.6434308482227935e-42,1.1846175283296829e-28,3.114084406783421e-15,1.1213157929142446e-48,0.0001576636575412635,6.059938472209951e-50,2.3857355042472216e-41,7.553494924158726e-68,1.266779586360152e-37,0.027362264122467183,1.604965156569414e-58,0.004567142186585843,3.937946910915957e-54,1.3787531159811038e-51,1.25652210456376e-19,9.429390793492188e-34,0.0016572094894404844,4.375044185885728e-27,1.2112294873559863e-31,9.708351750922544e-50,3.308721806855616e-42,3.5262044196166116e-15,1.7459703193026414e-68,1.4965349960830198e-62,1.8219849772917014e-17,1.0777259839266506e-58,4.81923706127355e-20,0.001988543865459651,1.1933031117636339e-43,7.691266726506095e-44,0.14148091943547852,1.754759103582555e-24,0.9255293209615284,2.986283045856684e-42,9.303098258230806e-26,6.502225728418096e-27,2.180428720828025e-14,6.56613128165605e-27,4.1568292662519315e-26,2.265612395216045e-06,0.0011237774038779162,0.0876027801520888,1.14897528074518e-49,2.893639019003093e-23,1.937921317631559e-36,4.944429272416207e-60,7.338550565317103e-55,5.667738701509313e-26,5.853869844947945e-08,3.0489269611949516e-43,1.417393219188214e-71,1.3493940522479224e-65,5.715781908473374e-34,5.0565655850579925e-74,1.0653569845325746e-49,1.2482072292063909e-15,3.179839705847277e-28,7.150780401758209e-25,8.934061511515011e-21,8.844243957659106e-62,7.572621172975417e-51,1.6444432467918273e-12
